discovery_method,log_name,commitizen,FinGPT,FinRL,Nautilus_trader,OpenBB,Qlib,TradingAgents,Vibe-Trading
split_miner_eps_0.2_eta_0.6,vitalizing,0.6481605349804074,0.7735936773593677,0.7379193037860095,0.7574177470624385,,0.7319072251947165,,0.8006043521383586
split_miner_eps_0.2_eta_0.6,whole,0.5825210016535566,0.7047631975887149,0.6555158642729983,0.5948942319705642,,0.6342069550397603,,0.8172618783418701
split_miner_eps_0.3_eta_0.4,random_case_control,0.4973259435717757,0.7267328455790971,0.6733054301155241,0.6121972514096877,,0.6033115844797191,,0.7637463761631198
split_miner_eps_0.3_eta_0.4,vitalizing,0.5501097802206092,0.7735316747884072,0.758937389401594,0.5940793870629287,,0.7069747102751581,,0.7683254633002008
split_miner_eps_0.3_eta_0.4,whole,0.4444494481862435,0.6992870583942192,0.6308766722901913,0.5117820176370014,,0.5965274328939869,,0.7693446004408044
split_miner_eps_0.3_eta_0.5,random_case_control,0.5534268464350077,0.7325795308753891,0.6848608527985076,0.6582210522483558,,0.6319380333298101,,0.7851281111045447
split_miner_eps_0.3_eta_0.5,vitalizing,0.5579320825004681,0.7964794483259232,0.7612842496856932,0.6390385430435273,,0.7069747102751581,,0.7990047570550092
split_miner_eps_0.3_eta_0.5,whole,0.5281467411320555,0.711513525610718,0.6831415653300708,0.5622074155331337,,0.5964009020140157,,0.7904363046082166
split_miner_eps_0.3_eta_0.6,random_case_control,0.5700580272174494,0.7422918300295308,0.7146092440718763,0.720625826346462,,0.671950497517836,,0.803738131953431
split_miner_eps_0.3_eta_0.6,vitalizing,0.6255728352099629,0.7735936773593677,0.7612842496856932,0.7574177470624385,,0.7320011355091122,,0.8006043521383586
split_miner_eps_0.3_eta_0.6,whole,0.5128650453211291,0.7032398642352119,0.6678137400733111,0.581896918099318,,0.6564079405826803,,0.8172618783418701
