variant,count
"('committed', 'committed', 'committed', 'committed', 'created', 'cross_referenced', 'commented', 'commented', 'commented', 'mentioned', 'subscribed', 'merged', 'closed', 'commented', 'head_ref_deleted', 'cross_referenced')",1
"('committed', 'committed', 'committed', 'committed', 'created', 'labeled', 'cross_referenced', 'commented', 'reviewed', 'cross_referenced', 'cross_referenced', 'reviewed', 'cross_referenced', 'cross_referenced', 'commented', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'committed', 'created', 'review_requested', 'commented', 'mentioned', 'subscribed', 'committed', 'commented', 'reviewed', 'reviewed', 'committed', 'committed', 'committed', 'committed', 'head_ref_force_pushed', 'committed', 'commented', 'mentioned', 'subscribed', 'commented', 'merged', 'closed', 'head_ref_deleted', 'cross_referenced')",1
"('committed', 'committed', 'committed', 'committed', 'created', 'review_requested', 'head_ref_force_pushed', 'head_ref_force_pushed', 'commented', 'reviewed', 'reviewed', 'committed', 'committed', 'committed', 'head_ref_force_pushed', 'commented', 'committed', 'head_ref_force_pushed', 'commented', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'committed', 'created', 'review_requested', 'review_requested', 'labeled', 'milestoned', 'commented', 'commented', 'reviewed', 'commented', 'base_ref_changed', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'commented', 'commented', 'commented', 'commented', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'commented', 'mentioned', 'subscribed', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'commented', 'reviewed', 'labeled', 'unlabeled', 'reviewed', 'merged', 'closed', 'head_ref_deleted', 'cross_referenced')",1
"('committed', 'committed', 'committed', 'committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'commented', 'commented', 'renamed', 'commented', 'reviewed', 'commented', 'review_requested', 'reviewed', 'commented', 'unlabeled', 'labeled', 'committed', 'labeled', 'labeled', 'committed', 'committed', 'committed', 'committed', 'committed', 'commented', 'mentioned', 'subscribed', 'reviewed', 'reviewed', 'merged', 'closed')",1
"('committed', 'committed', 'committed', 'created', 'commented', 'commented', 'mentioned', 'subscribed', 'commented', 'commented', 'mentioned', 'subscribed', 'labeled', 'commented', 'mentioned', 'subscribed', 'mentioned', 'subscribed', 'commented', 'mentioned', 'subscribed', 'commented', 'mentioned', 'subscribed', 'unlabeled', 'labeled', 'commented', 'commented', 'mentioned', 'subscribed', 'review_requested', 'cross_referenced', 'referenced', 'cross_referenced', 'referenced', 'referenced', 'closed', 'closed', 'referenced')",1
